OID,FID_1,Field1,category,id,latitude,longitude,general_ca,FID_2,label,altname,name,code,centroid_x,centroid_y
36,48,48,italian,XOUOPkP9DRSvd63BJRw2mA,51.48589605,-0.180878115,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
37,49,49,italian,dlCyXTaVFVBdNwFJpeLp4g,51.5186844,-0.204526,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
38,52,52,italian,iJWbDcwMB_-faWW1wlvjnw,51.48906542,-0.176328647,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
39,54,54,italian,EppwU38YQzpcTw5661YPhw,51.518164,-0.204104,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
40,55,55,italian,FnnjGImFG5WR7AMNfuz_dw,51.49318516,-0.182100139,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
41,56,56,italian,uj4czQ4jWmPkLcbRR-E7Gg,51.4937152,-0.1678684,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
42,58,58,italian,Jg71wxAOnFICkV81pU5qbw,51.5022012,-0.1890548,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
43,60,60,italian,YApkNjiCVBnuUUkS2SpIig,51.4859041,-0.1843726,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
44,62,62,italian,yagSnE0rg9OSXyuRgphWwQ,51.498008,-0.1653206,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
45,64,64,italian,99Q0vNBvnM5Rnw1atnr2xA,51.51535963,-0.20589052,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
46,65,65,italian,6fobd5tSaKHwhB2cT9ri2g,51.48617886,-0.180355709,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
47,66,66,italian,CyP4nZBMbNyP2NaJV03Bmw,51.5089085,-0.1988375,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
