,category,id,latitude,longitude,general_category
69,italian,y4YGtuQKjwxFEDKJnN9cLg,51.494335,-0.173954,Italian
70,italian,_N8MXEjxKNp9-wkeL09tvw,51.5452991,-0.1769226,Italian
71,italian,N061zlyo0MTNDQiG96hUHQ,51.488548,-0.169777,Italian
72,italian,3sShVU-HYAFlmU_dND68dA,51.5371396660839,-0.183738449570932,Italian
73,italian,VNQqGcSdwbtPXdaOUBobDg,51.5188118684431,-0.180645477220979,Italian
74,italian,AdEzmd2JPu4wKEMBeBUGew,51.472111,-0.202962,Italian
75,italian,V-COG61wvXrJ6t3dZf-eOw,51.5170992809183,-0.188286436141228,Italian
76,italian,lutSYm8d_RcTSc9zijBt-A,51.5263252,-0.2073792,Italian
77,italian,EibwJ4akv8xFdba2U1TM6g,51.513968,-0.217472,Italian
78,italian,wUwUajx4L-ZDtI77mJss1A,51.4889716989916,-0.175974090674464,Italian
79,italian,f1NbXSN3gcFAxjRauY90Dw,51.5183154278305,-0.188823491334915,Italian
80,italian,CBHrqKjE0SE4d6ypDLFEJw,51.493929,-0.182685,Italian
81,italian,BzX-KhL4VDjOidEKXPhBNQ,51.499097748922,-0.157740090217924,Italian
82,italian,dra1vvOg7jUDYsX5c8QzMw,51.501263,-0.177222,Italian
83,italian,szKxw1gnwOjdG-cG4nR4hA,51.4948248839157,-0.183395594325351,Italian
84,italian,JwO0Yal8nFHpPddHl0BO8Q,51.51564,-0.18829,Italian
85,italian,5iTca54jLb1EOmQHWU-Lhg,51.514406,-0.161159,Italian
86,italian,6CzxenEcXpcg3IShgJiqNg,51.501019,-0.188078,Italian
87,italian,2PpnLkYFm2lqt28KGSJlcQ,51.501550481302,-0.1843598311496,Italian
88,italian,3jmNtlgpcqtn0XWPifvnlg,51.4951101,-0.1740772,Italian
89,italian,FMOhZ-XrafA4HRuRI4bEQg,51.5134185161425,-0.203090774171352,Italian
90,italian,l67S1gE47iztKPpvvEB3jA,51.4829896,-0.1781273,Italian
91,italian,NXyKRKUoWf5FanK7nkC19Q,51.48302,-0.200656,Italian
92,italian,LMKwOJL1JSP-aP6hC_B8zw,51.51557644707,-0.20600306515706,Italian
93,italian,3mtc6x-ScJsVOvshReYw5w,51.4723727,-0.2100872,Italian
94,italian,220rJwtQVCvZeVVeuUOadQ,51.5060550724663,-0.223923549056053,Italian
95,italian,Ifv7pb5qa0NhiLAt20KkfA,51.453994,-0.174968,Italian
96,italian,Io-2G1W50DJJOIe8w72hRQ,51.503213695139,-0.220204697101878,Italian
97,italian,x2_oeRlSaWfpgVYa3ysbpA,51.461268,-0.216632,Italian
98,italian,2LDwA5Oc4VFpQyb6zs2wmA,51.518095804692,-0.206940247793291,Italian
99,italian,7Gt7QFXmgIEYDGATdHgJbw,51.47215,-0.16496,Italian
100,italian,wK1jADUhsD0102bIlp-PaA,51.5408413853259,-0.157658620866755,Italian
101,italian,UofUV4by7xvpI7y6JArt8g,51.5170393,-0.188348,Italian
102,italian,xSSVJgNApEn8pMQfSNPtMw,51.5320854,-0.2173121,Italian
103,italian,V8S6pwTpFW4nhu_irDUv1Q,51.4881307980632,-0.169354677200317,Italian
104,italian,LDQFyVJJkwrc6ZplFrYk1A,51.5226703793926,-0.207517817616463,Italian
105,italian,JhxSzU6Tm9bPDljvRS-sOg,51.467691,-0.209715,Italian
106,italian,UM8z3HizUGwlrlFihzfK0g,51.535724,-0.190119,Italian
107,italian,b2MgYNeuE1uoOyNzZPBHnA,51.4855672,-0.1818483,Italian
108,italian,1mQ0RPYV_iKkvacXUVvSxA,51.4851535,-0.2027383,Italian
109,italian,Orx87C7tgxPlYG4qNCC4MQ,51.515366,-0.157287,Italian
110,italian,gzcFj1cJr_Ixje1AtyVfEA,51.5314338,-0.2112119,Italian
111,italian,Aa_8xRphtmWkTTCtXHe04A,51.4985189489324,-0.162112915733289,Italian
112,italian,RU96clkbYyObbxCX27smKA,51.5150206,-0.1940216,Italian
113,italian,thDjz_OXJVO_UaYFHNLmzw,51.5013732910156,-0.16244800388813,Italian
114,italian,ZT8M0TcLZXXcdPaMbk18Cg,51.5180217,-0.2069201,Italian
115,italian,YXuJRl1sy8XEMnoKVM5hwA,51.5091705,-0.22185,Italian
116,italian,dH9LEEDGP4iuyn8eySwQNw,51.5353996,-0.1814278,Italian
117,italian,ZY1mrp4yP5N-c3hBcmPFqQ,51.5245889,-0.1847407,Italian
118,italian,qwgUGjOhO3xGdaifEtodLQ,51.4760727,-0.2092024,Italian
119,italian,_XLN0LQkhn82cKeC0sx67g,51.4943342,-0.2129815,Italian
120,italian,VP-nYr8_2-oDO4XYorkW8g,51.544568,-0.175304,Italian
121,italian,HR3VE6PUAZMbY4M64GaufQ,51.5018836,-0.1915139,Italian
122,italian,sr9IwpANdciY0yol8_PI2g,51.4718656,-0.1658742,Italian
123,italian,AGvwTHggMX79RxJkK5PKhg,51.5021169982351,-0.188760474642594,Italian
124,italian,IUg97ZTyEvEa5BW407eMbw,51.471918,-0.210918,Italian
125,italian,c9uhJqr6YuVdZh1VoHTmJQ,51.4792038,-0.2112916,Italian
126,italian,YPVuaIAeFFNSs7uKNsBzyQ,51.4858641,-0.1843076,Italian
127,italian,xJA1FT2oGoMOi6C_UMNYIQ,51.509773,-0.193684,Italian
128,italian,24EuTkdtDlSuezk6Mw-CDw,51.4601068,-0.1664789,Italian
129,italian,X9NVDfux8bbTdqHvgOrvPg,51.4894864507539,-0.206195785333455,Italian
130,italian,Wv-lk2XyLTvVAUihLsgvJg,51.5147449,-0.1768147,Italian
131,italian,i_6TsY3FMR-9Qc-83em-mA,51.5277019940076,-0.188639831738328,Italian
132,italian,2KQFlLfVz_beWQm6iYKMTg,51.4722945907171,-0.202077311222651,Italian
133,italian,Ps5rjrUJt5QKesVj0plovA,51.4860526,-0.1810413,Italian
134,italian,W8eL5kXvaMWa5zuhDQrWsQ,51.5144276428708,-0.201214626431465,Italian
135,italian,pSyUFW1a9bs9LJshoS7rzw,51.5140113830566,-0.159620001912117,Italian
136,italian,qtHjaPduuF253zcPub1vVw,51.5005529,-0.1606957,Italian
137,italian,ue-vz6QhvMyFBiNf_vUy-A,51.5191994,-0.1639319,Italian
138,italian,gT9UqnpEW73aMidF7uicVw,51.543101,-0.1996771,Italian
139,italian,B3G1IoAyqTKWBMNUiB2SLA,51.5370894,-0.1858321,Italian
140,italian,g9I9eO82cpOH4zRYwo1wpg,51.462436,-0.198908,Italian
141,italian,9kv1M4yxkU30681vKmcgsw,51.4914325935385,-0.159535473819005,Italian
142,italian,xup-3Iso1n4mIPeTUlkoTA,51.508529313403,-0.19940708864958,Italian
143,italian,fiFgpIpAXWjbcE-HiJU4dQ,51.485258,-0.181359,Italian
144,italian,rhilDv14S7xQoKrVr5jUCg,51.496201,-0.208853,Italian
145,italian,7XmHitS2QW-MAzhFaCdz6w,51.51586,-0.18773,Italian
146,italian,FypPh_46MQ6nqunRXkPOAw,51.5245752,-0.176988,Italian
147,italian,RjWPLLjUmauU3mU7cp2emA,51.4936902,-0.1950204,Italian
148,italian,4tK6_YuIL7NoPZPeZh7GkA,51.498813,-0.164265,Italian
149,italian,ZDc-kQ6t4sou3bH9uwBPRQ,51.5495535284074,-0.221631584130819,Italian
150,italian,xCnd_ZqlXRWWJF9oSTre8Q,51.4572138345236,-0.198100880187662,Italian
151,italian,R4hVXyqA---r5TjKgvVHOg,51.499889,-0.164078,Italian
152,italian,fAdMI0n38kDXspqTKCuZyQ,51.503017939329,-0.223435671985158,Italian
153,italian,iYmuxP-v5TtliC4PXwQihg,51.5080529,-0.2236516,Italian
154,italian,CWY1wi7pqDxECC5Huj0g8g,51.518877903642,-0.1967064375461,Italian
